,Time,Volume
0,0.0,0.0
1,1980.0000000000002,0.0012707693265617862
2,3780.0,0.0027316742275683434
3,5580.0,0.004335082975960796
4,7380.0,0.006009985972261088
5,9180.0,0.007725096237330737
6,10980.0,0.00946652015104075
7,12960.0,0.011406050740080715
8,14760.0,0.013186487875296613
9,16560.0,0.014982972940020968
10,18360.0,0.016794996519393066
11,20160.0,0.018622356397979805
12,21960.0,0.02046499922103219
13,23940.0,0.022510398786449115
14,26118.0,0.024782811837917553
15,28513.8,0.02730988083613688
16,31149.18,0.030123192601040863
17,34048.098,0.03325901145952306
18,37236.9078,0.03675912166561887
19,40744.598580000005,0.04067192638137216
20,44603.05843800001,0.04505378045109251
21,48847.36428180001,0.04997055287489906
22,53516.10070998001,0.05549978354441713
23,55316.10070998001,0.057650215542840465
24,57296.10070998001,0.060038475168782024
25,59474.10070998001,0.06269345214361713
26,61869.900709980015,0.06564814675223238
27,64505.28070998001,0.06894036680173689
28,67404.19870998002,0.0726136141656459
29,70593.00850998002,0.07671810417280968
30,74100.69928998002,0.08131208107397879
31,77959.15914798003,0.08646340212427854
32,82203.46499178003,0.09225139870476821
33,86872.20141996004,0.09876939802416959
34,92007.81149095805,0.1061276874123196
35,97656.98256905585,0.11056369227957773
36,103871.07075496344,0.1145717678251208
37,110706.56775946179,0.11877539118934385
38,118225.61446440997,0.12332687331516806
39,126496.56583985298,0.1282819566237504
40,135594.61235284028,0.13367994017754908
41,145602.4635171263,0.1395595279170724
42,156611.09979784096,0.14596213065803942
43,168720.59970662705,0.1529324425019327
44,182041.04960629175,0.13812787656750564
45,196693.54449592295,0.0895843885779856
46,214276.5383634804,0.08774359204884076
47,216076.5383634804,0.08778520526273467
48,218056.5383634804,0.08794515684643711
49,220234.5383634804,0.08817473181214781
50,222630.33836348038,0.08845105719448848
51,225265.71836348038,0.08876497445341297
52,228164.6363634804,0.0891142454978724
53,231353.44616348037,0.08949996464174127
54,234861.13694348038,0.08992487501084648
55,238719.5968014804,0.09039262469022889
56,242963.9026452804,0.09090739214314102
57,247632.63907346042,0.09147390464932305
58,252768.24914445842,0.096312036163495
59,254568.24914445842,0.0992878230823293
60,256548.24914445842,0.1031347157019166
61,258726.24914445842,0.10765900676352047
62,261122.0491444584,0.11279807768767523
63,263757.4291444584,0.11856371401749599
64,266656.3471444584,0.12501187389542595
65,269845.1569444584,0.1322288889274154
66,273352.8477244584,0.14032764478488802
67,277211.30758245836,0.1494498001045689
68,281455.6134262584,0.15977208145664873
69,283255.6134262584,0.16420572298455896
70,285055.6134262584,0.16869796284194188
71,287035.6134262584,0.1737136685529211
72,288835.6134262584,0.17752246592824555
73,290635.6134262584,0.17967919038845748
74,292615.6134262584,0.18133199474281808
75,294793.6134262584,0.1828114309780341
76,297189.41342625837,0.18428705307950236
77,299824.7934262584,0.18584460543451903
78,302723.7114262584,0.18752927683814238
79,305912.52122625837,0.18936829102027217
80,309420.21200625837,0.1913819729714958
81,313278.67186425836,0.19358878800773277
82,317522.9777080584,0.19600742029581578
83,322191.7141362384,0.19865779698748673
84,327327.3242072364,0.20156146461821112
85,332976.49528533424,0.20474181481211612
86,339190.5834712418,0.20461462583802587
87,346026.08047574013,0.19935251414073565
88,353545.1271806883,0.1922039939999414
89,361816.07855613134,0.18360801791659132
90,370914.1250691186,0.17353505161148833
91,380921.97623340465,0.16187864680876327
92,391930.6125141193,0.14855134566673645
93,404040.1124229054,0.1484990694871536
94,405840.1124229054,0.1486171459323169
95,407820.1124229054,0.1488095130077866
96,409998.1124229054,0.14905047888375553
97,412393.9124229054,0.1493285927897974
98,415029.2924229054,0.14964000670429392
99,417928.2104229054,0.1499847815400301
100,421117.0202229054,0.1503649242740136
101,424624.7110029054,0.1507834945892955
102,428483.1708609054,0.1512442169416474
103,432727.4767047054,0.15175125423401645
104,437396.2131328854,0.1523092832441491
105,442531.8232038834,0.1529234775569662
106,448180.99428198126,0.15359953808340074
107,454395.08246788883,0.15434374418243196
108,461230.57947238715,0.15603264452398133
109,468749.62617733533,0.162688802923308
110,470549.62617733533,0.16439522138841614
111,472349.62617733533,0.16615627835756008
112,474329.62617733533,0.1681279790872629
113,476507.62617733533,0.1703226905619413
114,478903.4261773353,0.1727608610652996
115,481538.8061773353,0.1754692016069697
116,484437.72417733533,0.17848006483982584
117,487626.5339773353,0.1818315820280026
118,491134.2247573353,0.18556844009794204
119,494992.6846153353,0.1897431143004894
120,499236.9904591353,0.19441747491226855
121,503905.72688731534,0.19966511391268157
122,509041.33695831336,0.20557418626045512
123,514690.5080364112,0.21225111568661112
124,520904.59622231877,0.21982538360176943
125,527740.0932268171,0.22845572270640313
126,535259.1399317653,0.23833804897703295
127,537059.1399317653,0.24072717334535362
128,538859.1399317653,0.2431401134584924
129,540839.1399317653,0.2458236751551114
130,542639.1399317653,0.2482879542379233
131,544439.1399317653,0.2507773332180269
132,546239.1399317653,0.252709861890563
133,548219.1399317653,0.25419153208749745
134,550397.1399317653,0.2555458358749658
135,552792.9399317653,0.25691229385827025
136,555428.3199317653,0.2583621392952131
137,558327.2379317653,0.2599337558283426
138,561516.0477317653,0.26165109673623205
139,565023.7385117653,0.2635327043324528
140,568882.1983697653,0.26559582221849903
141,573126.5042135653,0.26785808500584724
142,577795.2406417453,0.270338391454852
143,582930.8507127432,0.27305722664442983
144,588580.021790841,0.27603686924079907
145,594794.1099767486,0.27930156629420966
146,601629.606981247,0.28287773329139887
147,609148.6536861951,0.28679414851529916
148,617419.6050616382,0.2910821345062652
149,626517.6515746255,0.29577583580724737
