,ID,x,y,z,Time,q,p
29,29,1.3376523749999474,2.0352558931695586,210.30743554390898,0.0,5517414.06273773,15788941.763845518
111,111,6.898146634340834,1.7811286155657362,219.6355357197686,0.0,5452310.003989208,13082687.21637113
113,113,4.3021189703604765,1.8041730629300603,215.18930625251676,0.0,5000519.773317111,15187665.859949907
119,119,8.240075597690664,1.809660926654084,220.84261352598728,0.0,5516057.833858112,13121698.06497534
121,121,13.442307592321209,0.904112115066689,223.1797580780986,0.0,4707230.332575216,12771930.785673896
178,178,12.207003229759067,1.8220047894569207,222.71489911571598,0.0,4865760.362651592,12665714.31150939
273,273,20.219326048134786,0.9761079735240162,226.0980150915949,0.0,4427350.663528582,13100659.747183202
362,362,21.039946539509895,2.0467256148688384,226.50193190409578,0.0,4361864.6646781955,12724326.364074608
393,393,24.569238439912848,0.807713084436959,227.7705028458737,0.0,4248849.348954775,12969800.694087144
696,696,28.81913633366775,1.1311651777553675,229.08841934686268,0.0,4243758.485224588,13075248.78609908
847,847,33.084013250924755,1.1074884124808457,230.57309974404248,0.0,4259584.889755437,12885812.833115453
1042,1042,35.96491066682144,1.9682217710731096,231.3962764450789,0.0,4299980.2353752,13065683.949122526
1073,1073,37.40379827011873,0.860733358592264,231.82403065612522,0.0,4230872.110653525,13172175.386741646
1279,1279,41.670997808521996,0.792727377505711,233.07790074026843,0.0,4495900.054378737,12814086.254255772
1448,1448,45.64195386425093,0.7606948685732597,234.4331871997161,0.0,4767832.218775447,13614738.32601231
1675,1675,52.41318962052182,1.9233462452826997,238.09684207020936,0.0,4636517.9014420025,13486964.631356439
1697,1697,55.658647002747394,1.9960129569993372,240.66204661365543,0.0,4660444.34369347,13240626.465710405
1775,1775,56.96342687498036,0.938058301102773,241.5913325649482,0.0,4662858.799928795,12695990.613040831
1864,1864,58.135822946559664,1.77581560051462,242.47163025601097,0.0,4506421.808255372,12770737.572669206
2195,2195,62.33016504187825,2.311768296497302,245.35029710085306,0.0,4741134.502810347,13123839.468139993
2316,2316,64.55003067064413,0.6972724723631918,246.92635563723303,0.0,4843099.166615063,14073292.400452517
2629,2629,71.91988414925434,0.8153616543102807,256.49890017176637,0.0,4886786.056893334,14741045.86739115
2687,2687,73.25985867316317,0.8687577200234965,260.8911429925341,0.0,4776838.794063807,13759017.30531666
8325,8325,5.418557408884479,1.7346446556397699,427.89978031565613,0.0,4449915.085785854,13171825.564964615
8353,8353,8.81450041118516,0.6928786680147695,426.3740563189973,0.0,4486433.87186115,13881267.30343128
8492,8492,14.393195547562915,0.725681738005561,421.2110635539834,0.0,4073467.434919523,14091052.055585962
8650,8650,16.68131321532563,1.4296932167942447,417.88375597578363,0.0,3952099.815129975,12764108.380877173
8860,8860,18.74077320389869,0.5854063843788447,414.9998451113471,0.0,3855865.593732973,12571976.691048639
8862,8862,19.200020859757053,1.6844427317726165,414.24250117384423,0.0,3812763.7726976587,12232950.772911951
9007,9007,20.820856403633897,1.924584335340672,412.61808347882885,0.0,3682053.901935031,12490175.779737882
