,Time,Subsidence
0,0.0,-0.393370193445782
1,1980.0000000000002,-0.39339123161069356
2,3780.0,-0.3934150350924936
3,5580.0,-0.3934409655672906
4,7380.0,-0.3934680272651106
5,9180.0,-0.39349570202091294
6,10980.0,-0.39352369715576124
7,12960.0,-0.39355467095692753
8,14760.0,-0.3935829044328336
9,16560.0,-0.39361116782668115
10,18360.0,-0.3936394516017385
11,20160.0,-0.39366775604774523
12,21960.0,-0.3936960876609416
13,23940.0,-0.39372729459091527
14,26118.0,-0.39376169197373706
15,28513.8,-0.393799649847476
16,31149.18,-0.3938415601640383
17,34048.098,-0.39388789493297066
18,37236.9078,-0.39393916759707837
19,40744.598580000005,-0.39399600762901044
20,44603.05843800001,-0.3940592040071669
21,48847.36428180001,-0.3941295498213954
22,53516.10070998001,-0.39420809457808226
23,55316.10070998001,-0.3942385754388368
24,57296.10070998001,-0.3942723114491541
25,59474.10070998001,-0.39430970781295505
26,61869.900709980015,-0.39435122689669416
27,64505.28070998001,-0.39439736935472014
28,67404.19870998002,-0.3944487539403766
29,70593.00850998002,-0.3945060637753849
30,74100.69928998002,-0.39457015047427657
31,77959.15914798003,-0.3946420941441571
32,82203.46499178003,-0.39472306852023925
33,86872.20141996004,-0.39481466676448124
34,92007.81149095805,-0.3949189076297765
35,97656.98256905585,-0.3949703702968057
36,103871.07075496344,-0.3950168108899513
37,110706.56775946179,-0.39506576059247067
38,118225.61446440997,-0.3951187681516341
39,126496.56583985298,-0.39517657026208647
40,135594.61235284028,-0.3952398505541473
41,145602.4635171263,-0.39530907126581366
42,156611.09979784096,-0.39538496986596466
43,168720.59970662705,-0.3954681589668924
44,182041.04960629175,-0.3951656852014913
45,196693.54449592295,-0.3943034378162039
46,214276.5383634804,-0.3942715561983827
47,216076.5383634804,-0.3942713537416981
48,218056.5383634804,-0.39427241825639453
49,220234.5383634804,-0.3942741437856595
50,222630.33836348038,-0.3942762884585131
51,225265.71836348038,-0.39427873959449977
52,228164.6363634804,-0.3942814771544698
53,231353.44616348037,-0.39428448257531234
54,234861.13694348038,-0.3942877807267068
55,238719.5968014804,-0.39429144873388017
56,242963.9026452804,-0.3942954516647517
57,247632.63907346042,-0.3942998394324024
58,252768.24914445842,-0.39438116795295886
59,254568.24914445842,-0.3944336887222262
60,256548.24914445842,-0.39449923886124094
61,258726.24914445842,-0.3945746502887418
62,261122.0491444584,-0.3946592823290477
63,263757.4291444584,-0.3947534801268303
64,266656.3471444584,-0.39485811840482377
65,269845.1569444584,-0.39497441028297314
66,273352.8477244584,-0.3951040363515225
67,277211.30758245836,-0.39524937412817085
68,281455.6134262584,-0.39541381109741847
69,283255.6134262584,-0.39548463877961965
70,285055.6134262584,-0.3955567345884053
71,287035.6134262584,-0.3956378236262271
72,288835.6134262584,-0.39569685313839764
73,290635.6134262584,-0.3957245774510903
74,292615.6134262584,-0.39574508096331396
75,294793.6134262584,-0.3957636597749773
76,297189.41342625837,-0.3957824332205239
77,299824.7934262584,-0.39580233305889956
78,302723.7114262584,-0.39582385402185877
79,305912.52122625837,-0.3958472787116015
80,309420.21200625837,-0.3958728564960656
81,313278.67186425836,-0.3959008774269264
82,317522.9777080584,-0.39593151886936995
83,322191.7141362384,-0.3959650713954386
84,327327.3242072364,-0.396001864370759
85,332976.49528533424,-0.3960422423196701
86,339190.5834712418,-0.396019581282544
87,346026.08047574013,-0.39590492217793605
88,353545.1271806883,-0.3957610245561709
89,361816.07855613134,-0.3955946993428989
90,370914.1250691186,-0.3954056374047976
91,380921.97623340465,-0.39519165221539837
92,391930.6125141193,-0.39495086386838874
93,404040.1124229054,-0.39494420345035397
94,405840.1124229054,-0.3949448708574524
95,407820.1124229054,-0.39494632000682983
96,409998.1124229054,-0.3949482155729478
97,412393.9124229054,-0.3949504397138171
98,415029.2924229054,-0.3949529342557025
99,417928.2104229054,-0.3949557024400356
100,421117.0202229054,-0.394958735227219
101,424624.7110029054,-0.3949620612319669
102,428483.1708609054,-0.3949657590512026
103,432727.4767047054,-0.3949697944088395
104,437396.2131328854,-0.39497421760051143
105,442531.8232038834,-0.39497908937070053
106,448180.99428198126,-0.39498445784121505
107,454395.08246788883,-0.39499034796384275
108,461230.57947238715,-0.3950123557070776
109,468749.62617733533,-0.3951209395137221
110,470549.62617733533,-0.3951484194789482
111,472349.62617733533,-0.3951765055668141
112,474329.62617733533,-0.3952077570798171
113,476507.62617733533,-0.3952423945061868
114,478903.4261773353,-0.39528074965299564
115,481538.8061773353,-0.39532320312001307
116,484437.72417733533,-0.3953702254408785
117,487626.5339773353,-0.3954223259499661
118,491134.2247573353,-0.39548011987758014
119,494992.6846153353,-0.39554435956807144
120,499236.9904591353,-0.3956158023050759
121,503905.72688731534,-0.3956954585193692
122,509041.33695831336,-0.39578461541576565
123,514690.5080364112,-0.39588497847586784
124,520904.59622231877,-0.3959988840142348
125,527740.0932268171,-0.3961296440321731
126,535259.1399317653,-0.39628201421367076
127,537059.1399317653,-0.39631907884231765
128,538859.1399317653,-0.3963567463505157
129,540839.1399317653,-0.3963989520060608
130,542639.1399317653,-0.39643799738309904
131,544439.1399317653,-0.3964777369436417
132,546239.1399317653,-0.39650643667073354
133,548219.1399317653,-0.39652651874089856
134,550397.1399317653,-0.3965448794212762
135,552792.9399317653,-0.39656357853639396
136,555428.3199317653,-0.3965834439967615
137,558327.2379317653,-0.3966049023149702
138,561516.0477317653,-0.3966281900934288
139,565023.7385117653,-0.39665352289605604
140,568882.1983697653,-0.3966811567437736
141,573126.5042135653,-0.39671123239079076
142,577795.2406417453,-0.39674399831660156
143,582930.8507127432,-0.39677973591369414
144,588580.021790841,-0.3968187368768195
145,594794.1099767486,-0.39686129441943796
146,601629.606981247,-0.3969077498626299
147,609148.6536861951,-0.3969585060888932
148,617419.6050616382,-0.3970139827331002
149,626517.6515746255,-0.3970747272626276
150,636525.5027389115,-0.3970366525677376
151,647534.1390196262,-0.3959160984899912
152,660744.5025564837,-0.3958461860784193
153,675275.902447027,-0.39585136062520043
154,691260.4423266246,-0.3958637234852198
155,708843.436194182,-0.39587777894608667
156,728184.7294484952,-0.39589318538322676
157,749460.1520282397,-0.39624635901189253
158,751587.6942862142,-0.39628469923894305
159,753387.6942862142,-0.39631788710552746
160,755367.6942862142,-0.39635480587756655
161,757545.6942862142,-0.3963957373860681
162,759941.4942862142,-0.3964410829809178
163,762576.8742862142,-0.396491307479407
164,765475.7922862142,-0.3965469789845486
165,768664.6020862142,-0.3966087215117707
166,772172.2928662142,-0.3966772978283969
167,776030.7527242142,-0.396753678459316
168,780275.0585680142,-0.39683896693050097
169,784943.7949961942,-0.3969347249006025
170,790079.4050671922,-0.3970430741752162
171,795728.5761452899,-0.3971669267996383
172,801942.6643311975,-0.3973102920118042
173,803742.6643311975,-0.3973525142540731
174,805542.6643311975,-0.39737761891003504
175,807342.6643311975,-0.397393828608705
176,809322.6643311975,-0.39740845110678225
177,811500.6643311975,-0.39742319734654813
178,813896.4643311976,-0.3974388429868856
179,816531.8443311976,-0.3974557728629003
180,819430.7623311975,-0.3974742488046777
181,822619.5721311976,-0.39747245420150873
182,826127.2629111975,-0.3974102081949402
183,829985.7227691975,-0.39732701672893145
184,834230.0286129975,-0.3972296209235584
185,838898.7650411775,-0.3971190655105966
186,844034.3751121755,-0.3969948279331922
187,849683.5461902732,-0.3968556858315208
188,855897.6343761808,-0.39670001178100667
189,862733.1313806792,-0.39652604910846795
190,870252.1780856274,-0.39642939390576715
191,878523.1294610704,-0.3964260712525154
192,887621.1759740578,-0.3964331122651892
193,897629.0271383438,-0.3964421277240499
194,908637.6634190584,-0.3964522256121091
195,920747.1633278446,-0.3964632914132994
196,934067.6132275093,-0.39647545379540006
197,948720.1081171405,-0.3967975834083664
198,950520.1081171405,-0.3968657558952021
199,952320.1081171405,-0.39694197369383827
200,954300.1081171405,-0.39702944163879955
201,956478.1081171405,-0.39712765967076924
202,958873.9081171405,-0.39723728937680153
203,960673.9081171405,-0.3973205263729246
204,962473.9081171405,-0.39740474139561277
205,964453.9081171405,-0.3974988103722252
206,966631.9081171405,-0.3976044360773166
207,969027.7081171406,-0.3977238704050367
208,970827.7081171406,-0.39781579259340805
209,972627.7081171406,-0.39787749557925073
210,974607.7081171406,-0.3979096902543423
211,976785.7081171406,-0.3979337830976672
212,979181.5081171406,-0.3979558709918936
213,981816.8881171406,-0.3979782614794384
214,984715.8061171406,-0.3980019521163178
215,987904.6159171406,-0.39802739722780067
216,991412.3066971406,-0.3980548932390208
217,995270.7665551406,-0.3980847267629729
218,999515.0723989406,-0.3981170506884196
219,1004183.8088271206,-0.3981521222817628
220,1009319.4188981185,-0.39819023215545235
221,1014968.5899762163,-0.39823168289106115
222,1021182.6781621239,-0.39827678064550737
223,1028018.1751666223,-0.39832588235210925
224,1035537.2218715705,-0.3983753490640106
225,1043808.1732470135,-0.39832760021122615
226,1052906.2197600007,-0.39825627244740297
227,1062914.0709242867,-0.3981680460747133
228,1073922.7072050013,-0.3980633488256184
229,1086032.2071137873,-0.39794127582135946
230,1099352.657013452,-0.397800278744585
231,1114005.151903083,-0.3976380937621801
232,1130122.8962816773,-0.3974524357501085
233,1147852.415098131,-0.39744154864692016
234,1165852.415098131,-0.3975268305534612
235,1167652.415098131,-0.39755218949947885
236,1169632.415098131,-0.39758533406226404
237,1171810.415098131,-0.3976239363881103
238,1174206.215098131,-0.3976674205751201
239,1176841.5950981309,-0.39771584374685015
240,1179740.513098131,-0.3977695893709453
241,1182929.3228981309,-0.39782918329343175
242,1186437.013678131,-0.3978953059598733
243,1190295.473536131,-0.3979688017034914
244,1194539.779379931,-0.398050557553797
245,1199208.515808111,-0.3981417966052082
246,1201008.515808111,-0.3981772153281027
247,1202808.515808111,-0.3982128659267398
248,1204788.515808111,-0.3982524032879828
249,1206966.515808111,-0.39829632786279434
250,1209362.315808111,-0.39834524639622826
251,1211997.695808111,-0.39839986049073156
252,1214896.613808111,-0.39846104944031613
253,1218085.423608111,-0.398529863008508
254,1221593.114388111,-0.3986076445425027
255,1223393.114388111,-0.39864820032006987
256,1225193.114388111,-0.3986893863363661
257,1227173.114388111,-0.3987355227939939
258,1229351.114388111,-0.3987873456722704
259,1231746.914388111,-0.3988457470352823
260,1234382.294388111,-0.39891176272733797
261,1236182.294388111,-0.3989577250808909
262,1237982.294388111,-0.39900458399582234
263,1239782.294388111,-0.3990518552144186
264,1241582.294388111,-0.3990779945992809
265,1243562.294388111,-0.399100132131104
266,1245740.294388111,-0.39912173260656425
267,1248136.094388111,-0.3991441804799655
268,1250771.474388111,-0.39916809270185205
269,1253670.392388111,-0.3991938264059615
270,1256859.202188111,-0.3992215969743518
271,1260366.892968111,-0.399251620832515
272,1264225.352826111,-0.39928416663307775
273,1268469.658669911,-0.3993193913595251
274,1273138.395098091,-0.39935756686584994
275,1278274.0051690892,-0.3993990030284182
276,1283923.176247187,-0.39944402453439976
277,1290137.2644330945,-0.3993604265000813
278,1296972.7614375928,-0.3992256081715171
279,1304491.808142541,-0.39906486672140296
280,1312762.759517984,-0.398880931567465
281,1321860.8060309712,-0.3986724219940202
282,1331868.6571952573,-0.398436837218668
283,1342877.2934759718,-0.3983859867784698
284,1354986.7933847578,-0.3983957207732448
285,1368307.2432844224,-0.3984115133288445
286,1382959.7381740536,-0.3984292823970984
287,1399077.4825526478,-0.398448798905611
288,1416807.0013691015,-0.3987278866221372
289,1418607.0013691015,-0.3987766423876396
290,1420407.0013691015,-0.398831153014135
291,1422387.0013691015,-0.39889369016848475
292,1424565.0013691015,-0.39896386027210784
293,1426960.8013691015,-0.39904202548205414
294,1429596.1813691014,-0.39912895843404594
295,1432495.0993691015,-0.39922582954259794
296,1434295.0993691015,-0.39928652687442384
297,1436275.0993691015,-0.3993540859491327
298,1438453.0993691015,-0.3994295255863736
299,1440848.8993691015,-0.3995141460502376
300,1442648.8993691015,-0.399578794395099
301,1444628.8993691015,-0.39965137127345773
302,1446806.8993691015,-0.39973322972282765
303,1448606.8993691015,-0.3998024485589268
304,1450406.8993691015,-0.3998733498977782
305,1452206.8993691015,-0.39994608220013
306,1454006.8993691015,-0.3999827875249274
307,1455986.8993691015,-0.4000097554545969
308,1458164.8993691015,-0.40003427194337615
309,1460560.6993691016,-0.40005898182624816
310,1463196.0793691014,-0.4000849962576215
311,1466094.9973691015,-0.40011287793015704
312,1469283.8071691014,-0.4001429348863825
313,1472791.4979491015,-0.4001754314632712
314,1476649.9578071015,-0.40021066933121424
315,1480894.2636509016,-0.400248833484283
316,1485563.0000790816,-0.4002902247358434
317,1490698.6101500797,-0.40033518396007345
318,1496347.7812281775,-0.4003840692277124
319,1502561.869414085,-0.40043724691555826
320,1509397.3664185833,-0.4004951399485164
321,1516916.4131235315,-0.4005582420001051
322,1525187.3644989745,-0.4006270715919542
323,1534285.4110119618,-0.400579687246968
324,1544293.2621762478,-0.40011908819996983
325,1555301.8984569623,-0.399561906187488
326,1567411.3983657483,-0.39950988103334495
327,1580731.848265413,-0.3995227798246822
328,1595384.3431550441,-0.3996213698888549
329,1611502.0875336383,-0.40048034223948487
330,1613302.0875336383,-0.400580236054612
331,1615102.0875336383,-0.40068285036454
332,1617082.0875336383,-0.40079893572285197
333,1619260.0875336383,-0.40086476701789076
334,1621060.0875336383,-0.4008927499834884
335,1623040.0875336383,-0.4009142406326917
336,1625218.0875336383,-0.4009340857439832
337,1627613.8875336384,-0.40095432517360713
338,1630249.2675336383,-0.40097589074579204
339,1633148.1855336383,-0.4009992933716449
340,1636336.9953336383,-0.4010248314358205
341,1639844.6861136383,-0.40105277141178924
342,1643703.1459716384,-0.40108341809388276
343,1647947.4518154385,-0.4011169608280411
344,1652616.1882436185,-0.40115369682934765
345,1657751.7983146165,-0.4011939605035088
346,1663400.9693927143,-0.4012380983519201
347,1669615.057578622,-0.4012864604677541
348,1676450.5545831202,-0.4013394479603586
349,1683969.6012880683,-0.40139752707267207
350,1692240.5526635114,-0.40146118415503257
351,1701338.5991764986,-0.40153103956467767
352,1711346.4503407846,-0.4015078935906756
353,1722355.0866214992,-0.40140134890228313
354,1734464.5865302852,-0.40126573916283637
355,1747785.0364299498,-0.4011051486542488
356,1762437.531319581,-0.40091800225447877
357,1778555.2756981752,-0.4007015198955713
358,1796284.7945146288,-0.40045312108523806
359,1814284.7945146288,-0.40045595474901724
360,1832284.7945146288,-0.4004731242926899
361,1850284.7945146288,-0.4004910286186635
362,1868284.7945146288,-0.4005088947400135
363,1886284.7945146288,-0.4005841822197872
364,1906084.7945146288,-0.4009881452919781
365,1908064.7945146288,-0.401029580067424
366,1909864.7945146288,-0.4010677001228276
367,1911844.7945146288,-0.40110996453048725
368,1914022.7945146288,-0.4011567778418884
369,1916418.5945146289,-0.4012086412512535
370,1919053.9745146288,-0.40126611285096847
371,1921952.8925146288,-0.4013298731187259
372,1925141.7023146288,-0.4014007066304632
373,1928649.3930946288,-0.401479619316869
374,1932507.8529526289,-0.4015679445941424
