,ID,Time,dx,dy,dz
0,3,0.0,0.0,0.0,211.62613115221203
1,75,0.0,1.1514038467865122,0.0,216.48739187561793
2,76,0.0,1.6902823060015324,0.0,221.77770925990356
3,77,0.0,1.410564525504458,0.0,227.39006604442073
4,23,0.0,2.6051092114951473,0.0,232.962205283651
5,78,0.0,6.576724453912066,0.0,234.6603604638395
6,79,0.0,9.72369605227836,0.0,236.44240995047576
7,80,0.0,13.101752647793468,0.0,238.16876388337164
8,39,0.0,16.42994918214048,0.0,239.7062586856856
9,81,0.0,20.305071840973618,0.0,240.79807578742626
10,82,0.0,24.171538711423743,0.0,241.88379687254528
11,83,0.0,27.928818797922894,0.0,242.75429282383578
12,84,0.0,31.7499808293584,0.0,243.48511030648922
13,85,0.0,35.29378168838487,0.0,244.15546064956115
14,12,0.0,38.69642912244063,0.0,244.54473901928995
15,86,0.0,41.2798311179789,0.0,246.280292054158
16,87,0.0,44.29673688230665,0.0,248.11166116148792
17,88,0.0,47.19355800885212,0.0,249.5801936789435
18,89,0.0,50.250564877597746,0.0,251.33829654704155
19,90,0.0,53.06327731870303,0.0,252.68459638656756
20,9,0.0,56.007087563310364,0.0,253.5187249093384
21,91,0.0,56.259157304373446,0.0,255.6825668422663
22,92,0.0,57.554351988549485,0.0,258.6124775098166
23,93,0.0,58.662500129711674,0.0,261.4265688782051
24,28,0.0,60.334725298538366,0.0,263.7481537299219
25,94,0.0,59.647381536738564,0.0,266.5948171552336
26,95,0.0,59.370302245290446,0.0,269.9364342526845
27,96,0.0,59.173334218364836,0.0,273.3409101988295
28,11,0.0,59.26303345523801,0.0,276.4569248733548
29,97,0.0,56.35343773019375,0.0,278.4273141111708
30,98,0.0,53.28256283340485,0.0,281.05350306955154
31,99,0.0,50.061665782816135,0.0,283.92152772486975
32,100,0.0,46.829130676828825,0.0,286.99567512593575
33,27,0.0,43.47561003451751,0.0,290.29753414091164
34,101,0.0,43.200919556905575,0.0,294.0187117734013
35,102,0.0,42.955442126102746,0.0,297.66069145362184
36,22,0.0,42.830749188299606,0.0,301.18419523824303
37,103,0.0,41.108776329613825,0.0,305.0008930232199
38,104,0.0,39.39393241418767,0.0,308.905892819034
39,105,0.0,37.598373197032245,0.0,312.8681847304523
40,106,0.0,35.86454261687324,0.0,316.9216358168791
41,10,0.0,34.07617324234212,0.0,321.0570941526772
42,107,0.0,33.71460563165652,0.0,324.7254942126787
43,108,0.0,33.411429913341244,0.0,328.3996587690656
44,109,0.0,33.090140653839974,0.0,332.09889671091224
45,8,0.0,32.78880346850312,0.0,335.81970789832116
46,110,0.0,34.39699244273264,0.0,339.62311316437683
47,111,0.0,35.94056562624717,0.0,343.4244203223776
48,15,0.0,37.5189619740643,0.0,347.0102734245149
49,112,0.0,37.732981330288816,0.0,350.9071760344496
50,113,0.0,38.07819545803602,0.0,354.80206836529567
51,114,0.0,38.27670458108621,0.0,358.7889793568704
52,115,0.0,38.689058985547554,0.0,362.6827424332106
53,116,0.0,39.011451060434936,0.0,366.4836663605419
54,13,0.0,39.40727648710593,0.0,370.16436037131115
55,117,0.0,38.578994275805194,0.0,373.0302720978488
56,118,0.0,37.625270665722326,0.0,375.9733406169442
57,119,0.0,36.80989646460595,0.0,378.92320279402884
58,38,0.0,36.05481354579074,0.0,381.9135824229889
59,120,0.0,33.81346384269024,0.0,384.2199433429178
60,121,0.0,31.421401171358845,0.0,387.0377020597369
61,24,0.0,29.140790676956193,0.0,389.70593571214187
62,122,0.0,26.577955937640922,0.0,391.6455337015824
63,123,0.0,23.886438544570403,0.0,393.6161273328774
64,124,0.0,21.1547897201114,0.0,395.6635843059288
65,125,0.0,18.408111443930224,0.0,397.7786177952104
66,31,0.0,15.591926869939838,0.0,400.0116691655954
67,126,0.0,13.627836649295759,0.0,403.1920994139935
68,127,0.0,11.645901043113687,0.0,406.3105293826373
69,128,0.0,9.731507618924656,0.0,409.56568830084814
